"Timestamp","Płeć","Wiek","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Jestem w złym humorze.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Czuję się świetnie.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Jestem w złym nastroju.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Czuję się rozluźniony i spokojny.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Czuję się szaro i beznadziejnie.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Jestem w dobrym humorze.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Jestem pogodny.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Czuję się przygnębiony.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Moje samopoczucie jest złe.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Moje samopoczucie jest dobre.]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Radość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Niepokój]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Strach]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Miłość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Gniew]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Wesołość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Upokorzenie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Smutek]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Wzburzenie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Lęk]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Żal ]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Obawa]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Złość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Załamanie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Szczęście]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Wściekłość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Oddanie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Zadowolenie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Czułość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Wstyd]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Poczucie winy]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Przywiązanie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Depresja]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Nieszczęście]","Ile godzin średnio przesypiasz w ciągu doby?","Czy masz wyznaczone pory snu?","Jak oceniasz jakość swojego snu?","Ile godzin tygodniowo poświęcasz na sport?","Jaki środek transportu wybierasz najczęściej?","Jak oceniasz swoją kondycję fizyczną?","Ile godzin (średnio) w ciągu dnia korzystasz z urządzeń elektronicznych (komputer, laptop, tablet) pracując lub ucząc się?","Ile godzin dziennie poświęcasz na korzystanie z urządzeń w celach rozrywkowych?","Czy zdarza Ci się mieć poczucie, że za dużo czasu spędzasz korzystając z urządzeń elektronicznych?","Co przeważa w Twojej diecie?","Jaką wagę przywiązujesz do jakości swoich posiłków?","Jak oceniasz regularność swoich posiłków?","Czy masz kogoś, na kim możesz polegać w trudnej sytuacji?","Z iloma osobami utrzymujesz regularny kontakt w celach towarzyskich?","Jakie znaczenie mają dla Ciebie kontakty z innymi ludźmi?"
"2019/11/02 12:13:06 AM GMT+1","kobieta","25","nie zgadzam się","zgadzam się","nie zgadzam się","zgadzam się","nie zgadzam się","zgadzam się","zgadzam się","nie zgadzam się","nie zgadzam się","zgadzam się","bardzo często","czasami","czasami","bardzo często","rzadko","czasami","bardzo rzadko","czasami","czasami","czasami","czasami","czasami","czasami","czasami","zawsze","rzadko","często","bardzo często","bardzo często","nigdy","nigdy","zawsze","nigdy","nigdy","6-8","4","5","nie uprawiam żadnego sportu","komunikacja miejska","4","mniej niż 3","2 - 3","czasami","mam zbilansowaną dietę","jestem tym, co jem!","mam stałe pory posiłków","mam osoby, z którymi mogę porozmawiać o wszystkim","4 - 5","5"
"2019/11/02 8:28:32 AM GMT+1","mężczyzna","26","nie zgadzam się","raczej się nie zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej się zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","często","często","rzadko","bardzo rzadko","nigdy","często","bardzo rzadko","bardzo często","bardzo rzadko","bardzo często","często","bardzo często","rzadko","często","często","bardzo rzadko","bardzo rzadko","rzadko","nigdy","rzadko","często","bardzo rzadko","czasami","czasami","mniej niż 4","4","3","więcej niż 4","komunikacja miejska","3","powyżej 8","2 - 3","czasami","mam zbilansowaną dietę","staram się jeść zdrowo, ale mi nie wychodzi","staram się jeść regularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","3"
"2019/11/02 10:01:32 AM GMT+1","mężczyzna","24","raczej się zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej się nie zgadzam","nie zgadzam się","trochę tak, trochę nie","trochę tak, trochę nie","nie zgadzam się","nie zgadzam się","często","bardzo rzadko","bardzo rzadko","czasami","często","bardzo często","nigdy","często","czasami","bardzo rzadko","rzadko","bardzo rzadko","często","czasami","często","czasami","czasami","czasami","rzadko","nigdy","nigdy","rzadko","bardzo rzadko","nigdy","4-6","4","3","1 - 2,5","samochód","4","nie używam/rzadko używam komputera do pracy/nauki","mniej niż 1","rzadko","mam zbilansowaną dietę","jest to dla mnie dość ważne","różnie z tym bywa","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","4"
"2019/11/02 10:35:47 AM GMT+1","mężczyzna","22","raczej się nie zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej się nie zgadzam","raczej się zgadzam","raczej się zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","raczej się zgadzam","czasami","rzadko","bardzo rzadko","często","czasami","często","nigdy","rzadko","czasami","bardzo rzadko","bardzo rzadko","rzadko","czasami","rzadko","często","często","czasami","bardzo często","zawsze","czasami","często","zawsze","często","czasami","4-6","1","4","mniej niż 1","komunikacja miejska","4","powyżej 8","2 - 3","często","fast food","staram się jeść zdrowo, ale mi nie wychodzi","zazwyczaj jem regularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","5"
"2019/11/02 10:53:15 AM GMT+1","kobieta","17","raczej się nie zgadzam","trochę tak, trochę nie","nie zgadzam się","trochę tak, trochę nie","nie zgadzam się","raczej się zgadzam","raczej się zgadzam","nie zgadzam się","raczej się nie zgadzam","raczej się zgadzam","często","bardzo rzadko","bardzo rzadko","nigdy","bardzo często","często","rzadko","czasami","bardzo często","nigdy","rzadko","rzadko","bardzo często","rzadko","bardzo często","bardzo często","bardzo rzadko","czasami","rzadko","bardzo rzadko","czasami","bardzo rzadko","czasami","rzadko","8-10","4","3","więcej niż 4","komunikacja miejska","3","nie używam/rzadko używam komputera do pracy/nauki","2 - 3","bardzo często","mam zbilansowaną dietę","staram się jeść zdrowo, ale mi nie wychodzi","staram się jeść regularnie","nie czuję się komfortowo rozmawiając na trudne tematy z rodziną/znajomymi","1","3"
"2019/11/02 11:35:13 AM GMT+1","mężczyzna","23","raczej się nie zgadzam","raczej się zgadzam","raczej się nie zgadzam","raczej się zgadzam","raczej się nie zgadzam","raczej się zgadzam","raczej się zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","raczej się zgadzam","często","bardzo rzadko","nigdy","często","bardzo rzadko","często","nigdy","czasami","rzadko","bardzo rzadko","nigdy","bardzo rzadko","bardzo rzadko","nigdy","często","bardzo rzadko","rzadko","często","czasami","bardzo rzadko","bardzo rzadko","czasami","bardzo rzadko","bardzo rzadko","6-8","3","3","więcej niż 4","samochód","3","5 - 8","3 - 4","często","mięso i ciężkostrawne potrawy","staram się jeść zdrowo, ale mi nie wychodzi","różnie z tym bywa","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","3"
"2019/11/02 11:55:19 AM GMT+1","mężczyzna","20","nie zgadzam się","zgadzam się","nie zgadzam się","zgadzam się","raczej się nie zgadzam","raczej się zgadzam","zgadzam się","trochę tak, trochę nie","raczej się nie zgadzam","raczej się zgadzam","bardzo często","czasami","rzadko","zawsze","często","bardzo często","nigdy","rzadko","czasami","bardzo rzadko","rzadko","bardzo często","czasami","rzadko","zawsze","czasami","rzadko","zawsze","bardzo często","rzadko","nigdy","bardzo często","bardzo rzadko","bardzo rzadko","8-10","1","2","1 - 2,5","chodzę pieszo","4","5 - 8","więcej niż 4","często","fast food","nie jest to moim priorytetem","jem nieregularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","5"
"2019/11/02 1:14:17 PM GMT+1","kobieta","18","raczej się nie zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","raczej się nie zgadzam","raczej się zgadzam","raczej się nie zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","raczej się nie zgadzam","raczej się nie zgadzam","czasami","czasami","czasami","często","często","czasami","bardzo rzadko","często","często","bardzo rzadko","bardzo rzadko","rzadko","czasami","czasami","czasami","czasami","rzadko","rzadko","często","bardzo rzadko","rzadko","często","rzadko","bardzo rzadko","8-10","4","4","2,5 - 4","komunikacja miejska","3","3 - 5","1 - 2","bardzo często","mięso i ciężkostrawne potrawy","staram się jeść zdrowo, ale mi nie wychodzi","zazwyczaj jem regularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","4 - 5","4"
"2019/11/02 1:16:50 PM GMT+1","mężczyzna","19","nie zgadzam się","zgadzam się","nie zgadzam się","raczej się zgadzam","nie zgadzam się","zgadzam się","raczej się zgadzam","nie zgadzam się","nie zgadzam się","zgadzam się","bardzo często","bardzo rzadko","rzadko","zawsze","czasami","bardzo często","czasami","czasami","rzadko","rzadko","rzadko","czasami","bardzo rzadko","bardzo rzadko","bardzo często","nigdy","bardzo często","często","często","czasami","często","często","nigdy","nigdy","4-6","4","2","mniej niż 1","komunikacja miejska","2","powyżej 8","3 - 4","bardzo często","mam zbilansowaną dietę","nie jest to moim priorytetem","staram się jeść regularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","3"
"2019/11/02 1:25:43 PM GMT+1","kobieta","21","nie zgadzam się","raczej się zgadzam","nie zgadzam się","raczej się zgadzam","raczej się nie zgadzam","raczej się zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","raczej się nie zgadzam","trochę tak, trochę nie","czasami","często","czasami","często","czasami","czasami","czasami","często","czasami","czasami","często","często","rzadko","rzadko","rzadko","bardzo rzadko","czasami","rzadko","często","często","czasami","często","bardzo rzadko","bardzo rzadko","6-8","4","4","więcej niż 4","chodzę pieszo","3","3 - 5","1 - 2","czasami","mam zbilansowaną dietę","jest to dla mnie dość ważne","staram się jeść regularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","4 - 5","3"
"2019/11/02 1:26:12 PM GMT+1","kobieta","26","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej się nie zgadzam","raczej się zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","często","bardzo często","rzadko","zawsze","często","często","rzadko","często","często","często","czasami","bardzo często","bardzo często","bardzo często","czasami","czasami","zawsze","czasami","zawsze","czasami","często","zawsze","nigdy","nigdy","4-6","3","3","nie uprawiam żadnego sportu","chodzę pieszo","3","3 - 5","1 - 2","bardzo często","żywność mocno przetworzona (mrożonki, gotowe dania)","staram się jeść zdrowo, ale mi nie wychodzi","różnie z tym bywa","mam osoby, z którymi mogę porozmawiać o wszystkim","2 - 3","4"
"2019/11/02 1:31:28 PM GMT+1","kobieta","18","nie zgadzam się","raczej się zgadzam","raczej się nie zgadzam","raczej się zgadzam","nie zgadzam się","raczej się zgadzam","raczej się zgadzam","nie zgadzam się","nie zgadzam się","raczej się zgadzam","czasami","często","czasami","czasami","często","czasami","zawsze","często","często","czasami","bardzo rzadko","czasami","czasami","czasami","czasami","czasami","czasami","czasami","czasami","czasami","czasami","czasami","rzadko","rzadko","4-6","3","3","mniej niż 1","komunikacja miejska","3","3 - 5","3 - 4","czasami","mam zbilansowaną dietę","staram się jeść zdrowo, ale mi nie wychodzi","staram się jeść regularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","4"
"2019/11/02 1:40:30 PM GMT+1","mężczyzna","20","nie zgadzam się","trochę tak, trochę nie","nie zgadzam się","trochę tak, trochę nie","nie zgadzam się","trochę tak, trochę nie","trochę tak, trochę nie","nie zgadzam się","nie zgadzam się","trochę tak, trochę nie","czasami","nigdy","nigdy","nigdy","rzadko","czasami","nigdy","rzadko","rzadko","nigdy","bardzo rzadko","bardzo rzadko","bardzo rzadko","nigdy","rzadko","nigdy","nigdy","rzadko","bardzo rzadko","nigdy","bardzo rzadko","nigdy","nigdy","nigdy","4-6","1","2","1 - 2,5","samochód","2","mniej niż 3","2 - 3","często","mięso i ciężkostrawne potrawy","nie jest to moim priorytetem","różnie z tym bywa","nie czuję się komfortowo rozmawiając na trudne tematy z rodziną/znajomymi","5 i więcej","3"
"2019/11/02 2:13:17 PM GMT+1","kobieta","23","trochę tak, trochę nie","raczej się nie zgadzam","raczej się zgadzam","nie zgadzam się","raczej się zgadzam","nie zgadzam się","nie zgadzam się","zgadzam się","raczej się zgadzam","nie zgadzam się","rzadko","czasami","czasami","rzadko","czasami","bardzo rzadko","bardzo rzadko","często","nigdy","czasami","czasami","czasami","bardzo rzadko","czasami","nigdy","nigdy","bardzo rzadko","rzadko","bardzo rzadko","bardzo rzadko","rzadko","rzadko","nigdy","rzadko","6-8","4","3","1 - 2,5","chodzę pieszo","3","3 - 5","3 - 4","często","mam zbilansowaną dietę","jest to dla mnie dość ważne","różnie z tym bywa","na ogół mam do kogo zwrócić się z problemem","4 - 5","4"
"2019/11/02 2:17:01 PM GMT+1","kobieta","21","raczej się nie zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","trochę tak, trochę nie","rzadko","często","nigdy","często","często","czasami","czasami","bardzo często","bardzo często","rzadko","czasami","często","często","często","bardzo rzadko","często","rzadko","czasami","czasami","często","rzadko","rzadko","czasami","czasami","6-8","1","2","mniej niż 1","komunikacja miejska","2","powyżej 8","2 - 3","bardzo często","żywność mocno przetworzona (mrożonki, gotowe dania)","staram się jeść zdrowo, ale mi nie wychodzi","jem nieregularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","2 - 3","3"
"2019/11/02 2:42:02 PM GMT+1","kobieta","26","nie zgadzam się","raczej się zgadzam","nie zgadzam się","raczej się zgadzam","nie zgadzam się","zgadzam się","zgadzam się","nie zgadzam się","nie zgadzam się","zgadzam się","bardzo często","często","bardzo rzadko","zawsze","nigdy","bardzo często","nigdy","bardzo rzadko","nigdy","rzadko","nigdy","często","nigdy","nigdy","zawsze","nigdy","zawsze","zawsze","zawsze","nigdy","nigdy","bardzo często","nigdy","nigdy","8-10","4","4","nie uprawiam żadnego sportu","samochód","3","3 - 5","3 - 4","bardzo często","mięso i ciężkostrawne potrawy","nie jest to moim priorytetem","różnie z tym bywa","mam osoby, z którymi mogę porozmawiać o wszystkim","4 - 5","5"
"2019/11/02 2:42:06 PM GMT+1","mężczyzna","21","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","czasami","często","bardzo rzadko","często","bardzo często","czasami","bardzo rzadko","czasami","bardzo często","bardzo rzadko","bardzo rzadko","bardzo rzadko","często","bardzo rzadko","rzadko","bardzo często","bardzo rzadko","czasami","czasami","nigdy","czasami","czasami","czasami","czasami","6-8","3","3","więcej niż 4","chodzę pieszo","4","mniej niż 3","1 - 2","czasami","żywność mocno przetworzona (mrożonki, gotowe dania)","staram się jeść zdrowo, ale mi nie wychodzi","jem nieregularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","2"
"2019/11/02 2:49:03 PM GMT+1","kobieta","18","trochę tak, trochę nie","trochę tak, trochę nie","raczej się zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","czasami","często","bardzo często","często","czasami","czasami","czasami","bardzo często","czasami","zawsze","rzadko","rzadko","czasami","zawsze","często","nigdy","często","czasami","czasami","czasami","rzadko","czasami","bardzo często","bardzo często","4-6","2","3","1 - 2,5","komunikacja miejska","4","5 - 8","3 - 4","często","mięso i ciężkostrawne potrawy","staram się jeść zdrowo, ale mi nie wychodzi","różnie z tym bywa","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","5"
"2019/11/02 2:52:22 PM GMT+1","mężczyzna","18","raczej się zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","nie zgadzam się","raczej się nie zgadzam","raczej się nie zgadzam","nie zgadzam się","nie zgadzam się","trochę tak, trochę nie","trochę tak, trochę nie","rzadko","rzadko","nigdy","czasami","bardzo często","czasami","bardzo rzadko","rzadko","często","nigdy","rzadko","nigdy","bardzo często","bardzo rzadko","rzadko","często","bardzo rzadko","czasami","często","nigdy","rzadko","czasami","rzadko","bardzo rzadko","6-8","4","3","nie uprawiam żadnego sportu","komunikacja miejska","4","5 - 8","3 - 4","czasami","mięso i ciężkostrawne potrawy","nie jest to moim priorytetem","jem nieregularnie","z rodziną/znajomymi nie poruszam poważnych tematów","5 i więcej","2"
"2019/11/02 2:54:03 PM GMT+1","kobieta","18","raczej się nie zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","raczej się zgadzam","nie zgadzam się","raczej się zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","nie zgadzam się","raczej się zgadzam","czasami","często","bardzo rzadko","zawsze","bardzo często","często","nigdy","czasami","nigdy","rzadko","bardzo rzadko","rzadko","często","czasami","rzadko","bardzo rzadko","bardzo często","rzadko","często","nigdy","nigdy","zawsze","często","nigdy","4-6","2","2","mniej niż 1","samochód","3","mniej niż 3","więcej niż 4","czasami","mam zbilansowaną dietę","jest to dla mnie dość ważne","staram się jeść regularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","4"
"2019/11/02 2:57:31 PM GMT+1","kobieta","18","nie zgadzam się","raczej się zgadzam","nie zgadzam się","raczej się zgadzam","nie zgadzam się","zgadzam się","zgadzam się","nie zgadzam się","nie zgadzam się","zgadzam się","bardzo często","często","czasami","zawsze","czasami","bardzo często","czasami","czasami","czasami","bardzo często","bardzo rzadko","bardzo często","bardzo rzadko","nigdy","bardzo często","nigdy","bardzo często","bardzo często","bardzo często","czasami","czasami","bardzo często","nigdy","bardzo rzadko","8-10","5","3","nie uprawiam żadnego sportu","komunikacja miejska","1","nie używam/rzadko używam komputera do pracy/nauki","3 - 4","czasami","mam zbilansowaną dietę","staram się jeść zdrowo, ale mi nie wychodzi","staram się jeść regularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","2 - 3","5"
"2019/11/02 3:01:33 PM GMT+1","kobieta","18","zgadzam się","nie zgadzam się","zgadzam się","nie zgadzam się","trochę tak, trochę nie","nie zgadzam się","raczej się nie zgadzam","nie zgadzam się","raczej się zgadzam","raczej się nie zgadzam","rzadko","czasami","bardzo rzadko","czasami","często","bardzo często","nigdy","bardzo rzadko","nigdy","nigdy","rzadko","często","bardzo często","czasami","czasami","często","nigdy","rzadko","rzadko","bardzo rzadko","rzadko","czasami","nigdy","nigdy","6-8","3","2","nie uprawiam żadnego sportu","chodzę pieszo","3","3 - 5","1 - 2","rzadko","żywność mocno przetworzona (mrożonki, gotowe dania)","nie jest to moim priorytetem","jem nieregularnie","na ogół mam do kogo zwrócić się z problemem","2 - 3","5"
"2019/11/02 3:05:51 PM GMT+1","kobieta","18","nie zgadzam się","nie zgadzam się","raczej się nie zgadzam","raczej się nie zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","raczej się nie zgadzam","raczej się zgadzam","czasami","często","bardzo rzadko","rzadko","często","czasami","nigdy","często","czasami","czasami","nigdy","czasami","czasami","czasami","bardzo rzadko","czasami","rzadko","czasami","czasami","nigdy","nigdy","bardzo często","rzadko","bardzo rzadko","8-10","3","4","nie uprawiam żadnego sportu","komunikacja miejska","3","mniej niż 3","więcej niż 4","często","mięso i ciężkostrawne potrawy","staram się jeść zdrowo, ale mi nie wychodzi","staram się jeść regularnie","nie czuję się komfortowo rozmawiając na trudne tematy z rodziną/znajomymi","5 i więcej","4"
"2019/11/02 3:18:15 PM GMT+1","kobieta","18","trochę tak, trochę nie","nie zgadzam się","raczej się zgadzam","raczej się nie zgadzam","raczej się zgadzam","nie zgadzam się","nie zgadzam się","raczej się zgadzam","raczej się zgadzam","nie zgadzam się","rzadko","czasami","rzadko","bardzo rzadko","czasami","często","czasami","bardzo często","czasami","czasami","często","rzadko","często","czasami","czasami","bardzo rzadko","bardzo rzadko","czasami","bardzo rzadko","często","często","bardzo rzadko","często","często","6-8","5","4","mniej niż 1","komunikacja miejska","3","3 - 5","2 - 3","czasami","żywność mocno przetworzona (mrożonki, gotowe dania)","staram się jeść zdrowo, ale mi nie wychodzi","jem nieregularnie","z rodziną/znajomymi nie poruszam poważnych tematów","4 - 5","3"
"2019/11/02 3:19:43 PM GMT+1","kobieta","18","trochę tak, trochę nie","raczej się nie zgadzam","raczej się nie zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","często","czasami","rzadko","czasami","rzadko","często","czasami","czasami","czasami","rzadko","bardzo rzadko","rzadko","rzadko","czasami","często","czasami","rzadko","czasami","często","czasami","rzadko","często","czasami","czasami","6-8","4","4","1 - 2,5","samochód","3","mniej niż 3","więcej niż 4","czasami","żywność mocno przetworzona (mrożonki, gotowe dania)","staram się jeść zdrowo, ale mi nie wychodzi","jem nieregularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","5"
"2019/11/02 3:25:09 PM GMT+1","kobieta","18","raczej się nie zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","nie zgadzam się","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","bardzo rzadko","często","czasami","zawsze","czasami","rzadko","nigdy","czasami","czasami","często","czasami","często","czasami","często","rzadko","rzadko","bardzo często","rzadko","często","bardzo rzadko","bardzo rzadko","bardzo często","zawsze","rzadko","6-8","3","3","nie uprawiam żadnego sportu","komunikacja miejska","1","mniej niż 3","3 - 4","czasami","fast food","staram się jeść zdrowo, ale mi nie wychodzi","jem nieregularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","1","3"
"2019/11/02 3:30:14 PM GMT+1","mężczyzna","23","nie zgadzam się","raczej się nie zgadzam","nie zgadzam się","raczej się nie zgadzam","nie zgadzam się","raczej się nie zgadzam","trochę tak, trochę nie","nie zgadzam się","nie zgadzam się","raczej się nie zgadzam","często","czasami","nigdy","czasami","czasami","często","bardzo rzadko","bardzo rzadko","czasami","bardzo rzadko","bardzo rzadko","rzadko","rzadko","bardzo rzadko","bardzo często","bardzo rzadko","rzadko","często","czasami","bardzo rzadko","bardzo rzadko","rzadko","nigdy","nigdy","8-10","1","2","2,5 - 4","samochód","3","3 - 5","2 - 3","często","mam zbilansowaną dietę","jest to dla mnie dość ważne","jem nieregularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","3"
"2019/11/02 3:31:38 PM GMT+1","mężczyzna","21","nie zgadzam się","zgadzam się","nie zgadzam się","zgadzam się","nie zgadzam się","zgadzam się","zgadzam się","nie zgadzam się","nie zgadzam się","zgadzam się","bardzo często","bardzo rzadko","bardzo rzadko","nigdy","czasami","zawsze","nigdy","bardzo rzadko","rzadko","bardzo rzadko","rzadko","nigdy","bardzo rzadko","nigdy","zawsze","bardzo rzadko","nigdy","bardzo często","nigdy","nigdy","nigdy","nigdy","nigdy","nigdy","4-6","5","4","więcej niż 4","samochód","5","mniej niż 3","mniej niż 1","nigdy","mam zbilansowaną dietę","staram się jeść zdrowo, ale mi nie wychodzi","staram się jeść regularnie","z rodziną/znajomymi nie poruszam poważnych tematów","4 - 5","5"
"2019/11/02 3:36:37 PM GMT+1","kobieta","29","nie zgadzam się","trochę tak, trochę nie","nie zgadzam się","raczej się nie zgadzam","nie zgadzam się","raczej się zgadzam","zgadzam się","nie zgadzam się","raczej się nie zgadzam","raczej się zgadzam","czasami","często","rzadko","często","często","rzadko","bardzo rzadko","często","rzadko","często","rzadko","rzadko","często","bardzo rzadko","często","bardzo rzadko","czasami","rzadko","czasami","bardzo rzadko","bardzo rzadko","często","bardzo rzadko","bardzo rzadko","6-8","3","5","mniej niż 1","komunikacja miejska","2","5 - 8","2 - 3","bardzo często","mam zbilansowaną dietę","staram się jeść zdrowo, ale mi nie wychodzi","staram się jeść regularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","2 - 3","4"
"2019/11/02 3:41:52 PM GMT+1","mężczyzna","26","nie zgadzam się","raczej się zgadzam","nie zgadzam się","raczej się zgadzam","nie zgadzam się","zgadzam się","zgadzam się","trochę tak, trochę nie","nie zgadzam się","zgadzam się","często","czasami","rzadko","zawsze","bardzo często","bardzo często","rzadko","rzadko","często","czasami","czasami","czasami","czasami","czasami","bardzo często","czasami","bardzo często","bardzo często","bardzo często","czasami","czasami","często","rzadko","rzadko","6-8","3","3","2,5 - 4","samochód","3","5 - 8","1 - 2","rzadko","mam zbilansowaną dietę","jest to dla mnie dość ważne","różnie z tym bywa","na ogół mam do kogo zwrócić się z problemem","4 - 5","4"
"2019/11/02 3:46:03 PM GMT+1","kobieta","24","raczej się nie zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","nie zgadzam się","trochę tak, trochę nie","raczej się nie zgadzam","raczej się nie zgadzam","raczej się zgadzam","raczej się zgadzam","nie zgadzam się","rzadko","bardzo często","często","nigdy","bardzo często","rzadko","bardzo rzadko","zawsze","często","często","bardzo rzadko","często","bardzo często","czasami","rzadko","bardzo często","nigdy","bardzo rzadko","nigdy","rzadko","bardzo rzadko","nigdy","zawsze","bardzo często","4-6","3","3","1 - 2,5","komunikacja miejska","2","3 - 5","1 - 2","często","mam zbilansowaną dietę","staram się jeść zdrowo, ale mi nie wychodzi","jem nieregularnie","na ogół mam do kogo zwrócić się z problemem","5 i więcej","1"
